"DATE","IDFROM","IDTO"
"2020-06-28","46","243"
"2020-06-29","30","151"
"2020-06-03","233","136"
"2020-06-13","185","199"
"2020-06-25","170","39"
"2020-06-22","249","132"
"2020-06-02","53","95"
"2020-06-03","68","205"
"2020-06-13","204","34"
"2020-06-17","65","225"
"2020-06-01","201","30"
"2020-06-15","227","228"
"2020-06-20","84","14"
"2020-06-29","110","123"
"2020-06-30","181","111"
"2020-06-24","170","206"
"2020-06-15","239","213"
"2020-06-04","238","68"
"2020-06-09","125","176"
"2020-06-14","244","135"
"2020-06-26","228","124"
"2020-06-03","21","144"
"2020-06-08","63","108"
"2020-06-26","61","20"
"2020-06-16","186","232"
"2020-06-09","123","125"
"2020-06-13","113","228"
"2020-06-04","240","174"
"2020-06-30","130","190"
"2020-06-28","128","26"
"2020-06-16","141","60"
"2020-06-03","230","193"
"2020-06-14","215","106"
"2020-06-27","25","234"
"2020-06-25","59","86"
"2020-06-01","186","202"
"2020-06-01","48","67"
"2020-06-18","206","4"
"2020-06-25","199","116"
"2020-06-05","238","243"
"2020-06-13","221","138"
"2020-06-13","218","71"
"2020-06-19","156","200"
"2020-06-20","68","228"
"2020-06-20","26","13"
"2020-06-19","9","68"
"2020-06-09","132","41"
"2020-06-09","221","119"
"2020-06-17","67","135"
"2020-06-25","215","146"
"2020-06-11","3","122"
"2020-06-20","169","187"
"2020-06-20","51","248"
"2020-06-23","44","243"
"2020-06-21","28","219"
"2020-06-12","44","190"
"2020-06-28","70","127"
"2020-06-15","6","238"
"2020-06-10","218","118"
"2020-06-24","64","53"
"2020-06-13","103","176"
"2020-06-21","238","106"
"2020-06-25","1","198"
"2020-06-25","74","237"
"2020-06-20","232","31"
"2020-06-19","221","46"
"2020-06-03","49","146"
"2020-06-30","51","181"
"2020-06-02","230","200"
"2020-06-27","61","147"
"2020-06-24","132","38"
"2020-06-08","240","152"
"2020-06-18","167","242"
"2020-06-17","223","200"
"2020-06-03","62","114"
"2020-06-14","123","81"
"2020-06-22","74","177"
"2020-06-27","101","44"
"2020-06-13","153","151"
"2020-06-18","66","77"
"2020-06-28","30","209"
"2020-06-10","119","145"
"2020-06-21","177","193"
"2020-06-28","68","228"
"2020-06-24","2","246"
"2020-06-06","219","133"
"2020-06-05","144","103"
"2020-06-18","172","21"
"2020-06-26","143","158"
"2020-06-05","201","101"
"2020-06-02","47","125"
"2020-06-16","38","5"
"2020-06-24","188","185"
"2020-06-25","110","83"
"2020-06-16","40","166"
"2020-06-15","174","78"
"2020-06-29","34","249"
"2020-06-16","106","219"
"2020-06-21","76","4"
"2020-06-20","169","141"
"2020-06-10","229","108"
"2020-06-09","90","79"
"2020-06-23","220","120"
"2020-06-12","48","246"
"2020-06-21","7","240"
"2020-06-11","12","112"
"2020-06-24","44","18"
"2020-06-08","217","171"
"2020-06-17","10","136"
"2020-06-03","223","157"
"2020-06-09","28","242"
"2020-06-26","234","82"
"2020-06-27","189","159"
"2020-06-24","16","109"
"2020-06-29","123","210"
"2020-06-05","107","82"
"2020-06-28","186","131"
"2020-06-20","112","163"
"2020-06-01","29","93"
"2020-06-26","184","85"
"2020-06-28","69","215"
"2020-06-13","133","187"
"2020-06-26","104","247"
"2020-06-09","93","23"
"2020-06-20","197","238"
"2020-06-09","27","105"
"2020-06-21","224","12"
"2020-06-13","89","240"
"2020-06-18","179","217"
"2020-06-23","114","178"
"2020-06-26","7","185"
"2020-06-15","14","231"
"2020-06-23","182","57"
"2020-06-11","212","160"
"2020-06-02","137","52"
"2020-06-21","100","110"
"2020-06-30","8","96"
"2020-06-25","120","240"
"2020-06-14","136","86"
"2020-06-17","130","121"
"2020-06-13","248","67"
"2020-06-04","115","2"
"2020-06-22","23","73"
"2020-06-04","241","245"
"2020-06-02","28","29"
"2020-06-15","57","125"
"2020-06-21","105","95"
"2020-06-19","169","202"
"2020-06-27","177","165"
"2020-06-26","212","104"
"2020-06-15","143","103"
"2020-06-26","88","84"
"2020-06-24","156","28"
"2020-06-08","106","247"
"2020-06-08","5","96"
"2020-06-26","85","26"
"2020-06-10","220","83"
"2020-06-30","247","8"
"2020-06-16","93","245"
"2020-06-05","137","199"
"2020-06-14","104","181"
"2020-06-11","73","119"
"2020-06-03","133","228"
"2020-06-15","141","34"
"2020-06-23","44","168"
"2020-06-26","130","17"
"2020-06-06","30","191"
"2020-06-06","160","135"
"2020-06-13","205","206"
"2020-06-11","163","59"
"2020-06-03","107","58"
"2020-06-30","112","109"
"2020-06-24","128","1"
"2020-06-06","196","201"
"2020-06-10","199","135"
"2020-06-17","176","28"
"2020-06-19","110","185"
"2020-06-28","157","220"
"2020-06-17","189","132"
"2020-06-30","216","196"
"2020-06-24","110","130"
"2020-06-30","180","106"
"2020-06-23","67","59"
"2020-06-20","208","127"
"2020-06-10","166","11"
"2020-06-13","246","242"
"2020-06-18","23","70"
"2020-06-28","149","245"
"2020-06-18","151","56"
"2020-06-28","194","116"
"2020-06-13","183","221"
"2020-06-24","193","240"
"2020-06-07","228","160"
"2020-06-20","75","214"
"2020-06-14","21","199"
"2020-06-16","2","24"
"2020-06-07","14","44"
"2020-06-09","152","145"
"2020-06-01","108","29"
"2020-06-29","43","2"
"2020-06-17","167","52"
"2020-06-30","237","206"
"2020-06-10","48","246"
"2020-06-14","14","200"
"2020-06-26","172","118"
"2020-06-14","18","136"
"2020-06-24","180","5"
"2020-06-23","122","96"
"2020-06-21","196","153"
"2020-06-11","149","210"
"2020-06-15","148","15"
"2020-06-15","133","230"
"2020-06-14","69","92"
"2020-06-16","170","3"
"2020-06-24","145","136"
"2020-06-05","80","4"
"2020-06-16","95","56"
"2020-06-25","214","46"
"2020-06-03","80","230"
"2020-06-05","185","210"
"2020-06-29","94","37"
"2020-06-03","232","234"
"2020-06-25","48","69"
"2020-06-05","117","216"
"2020-06-04","122","123"
"2020-06-06","60","205"
"2020-06-13","69","159"
"2020-06-13","4","144"
"2020-06-01","187","137"
"2020-06-16","94","142"
"2020-06-28","71","197"
"2020-06-16","45","136"
"2020-06-12","221","77"
"2020-06-09","22","224"
"2020-06-25","10","41"
"2020-06-05","199","104"
"2020-06-04","189","20"
"2020-06-30","246","38"
"2020-06-02","82","6"
"2020-06-16","170","138"
"2020-06-10","182","99"
"2020-06-23","129","47"
"2020-06-17","89","35"
"2020-06-02","58","126"
"2020-06-11","217","155"
"2020-06-17","1","70"
"2020-06-15","152","201"
"2020-06-19","115","210"
"2020-06-29","57","40"
"2020-06-18","117","91"
"2020-06-24","187","46"
"2020-06-19","202","60"
"2020-06-19","216","178"
"2020-06-15","144","225"
"2020-06-17","141","122"
"2020-06-21","143","16"
"2020-06-20","131","128"
"2020-06-13","114","188"
"2020-06-12","193","92"
"2020-06-26","166","221"
"2020-06-27","91","248"
"2020-06-18","66","48"
"2020-06-21","57","166"
"2020-06-01","196","109"
"2020-06-15","18","180"
"2020-06-15","69","46"
"2020-06-25","228","184"
"2020-06-04","198","104"
"2020-06-14","155","193"
"2020-06-12","31","122"
"2020-06-23","33","196"
"2020-06-06","248","159"
"2020-06-03","84","198"
"2020-06-05","237","178"
"2020-06-07","8","47"
"2020-06-01","95","202"
"2020-06-05","243","228"
"2020-06-25","2","200"
"2020-06-08","140","11"
"2020-06-26","188","154"
"2020-06-09","170","37"
"2020-06-23","209","82"
"2020-06-21","66","73"
"2020-06-14","129","100"
"2020-06-01","169","76"
"2020-06-15","66","99"
"2020-06-13","36","143"
"2020-06-02","161","116"
"2020-06-14","88","24"
"2020-06-05","28","142"
"2020-06-06","150","86"
"2020-06-08","206","111"
"2020-06-06","33","142"
"2020-06-25","14","223"
"2020-06-18","80","173"
"2020-06-11","205","180"
"2020-06-10","233","208"
"2020-06-09","218","162"
"2020-06-07","92","50"
"2020-06-01","199","195"
"2020-06-21","10","228"
"2020-06-01","55","107"
"2020-06-24","64","173"
"2020-06-09","208","127"
"2020-06-10","185","246"
"2020-06-01","95","249"
"2020-06-14","82","211"
"2020-06-04","130","139"
"2020-06-22","162","41"
"2020-06-04","83","36"
"2020-06-11","58","22"
"2020-06-22","63","207"
"2020-06-19","111","12"
"2020-06-07","140","218"
"2020-06-07","203","94"
"2020-06-12","129","199"
"2020-06-25","165","9"
"2020-06-29","143","185"
"2020-06-24","187","62"
"2020-06-27","117","165"
"2020-06-29","176","237"
"2020-06-03","112","74"
"2020-06-18","61","149"
"2020-06-07","230","210"
"2020-06-15","87","217"
"2020-06-18","53","211"
"2020-06-03","230","158"
"2020-06-17","222","86"
"2020-06-09","133","158"
"2020-06-01","49","89"
"2020-06-02","92","49"
"2020-06-05","102","101"
"2020-06-15","203","143"
"2020-06-02","42","150"
"2020-06-04","53","9"
"2020-06-11","94","175"
"2020-06-15","162","36"
"2020-06-18","164","206"
"2020-06-24","156","78"
"2020-06-04","240","171"
"2020-06-23","223","79"
"2020-06-12","176","33"
"2020-06-28","150","118"
"2020-06-19","111","112"
"2020-06-21","234","209"
"2020-06-21","102","2"
"2020-06-06","70","118"
"2020-06-28","98","5"
"2020-06-29","46","78"
"2020-06-12","81","134"
"2020-06-27","166","18"
"2020-06-19","173","102"
"2020-06-07","87","165"
"2020-06-04","155","241"
"2020-06-23","117","60"
"2020-06-29","135","216"
"2020-06-19","191","16"
"2020-06-25","86","157"
"2020-06-07","13","53"
"2020-06-01","150","148"
"2020-06-04","55","127"
"2020-06-11","150","118"
"2020-06-19","27","194"
"2020-06-09","60","130"
"2020-06-26","157","107"
"2020-06-28","156","162"
"2020-06-09","120","75"
"2020-06-30","47","140"
"2020-06-04","233","185"
"2020-06-22","29","49"
"2020-06-12","10","200"
"2020-06-28","191","234"
"2020-06-02","2","41"
"2020-06-24","137","110"
"2020-06-17","204","76"
"2020-06-15","7","234"
"2020-06-21","134","185"
"2020-06-15","45","117"
"2020-06-04","127","248"
"2020-06-18","166","90"
"2020-06-17","135","45"
"2020-06-03","135","4"
"2020-06-01","227","88"
"2020-06-23","249","105"
"2020-06-02","143","122"
"2020-06-17","113","8"
"2020-06-08","11","46"
"2020-06-21","49","1"
"2020-06-21","193","41"
"2020-06-01","84","140"
"2020-06-05","173","106"
"2020-06-27","103","238"
"2020-06-05","180","54"
"2020-06-11","69","184"
"2020-06-29","115","196"
"2020-06-26","249","65"
"2020-06-04","199","33"
"2020-06-23","88","175"
"2020-06-07","224","82"
"2020-06-29","100","230"
"2020-06-04","101","182"
"2020-06-04","182","164"
"2020-06-25","230","138"
"2020-06-16","7","72"
"2020-06-09","171","222"
"2020-06-07","2","148"
"2020-06-22","136","215"
"2020-06-26","114","24"
"2020-06-27","44","150"
"2020-06-03","232","177"
"2020-06-09","179","111"
"2020-06-02","84","42"
"2020-06-27","202","134"
"2020-06-07","47","78"
"2020-06-20","132","35"
"2020-06-11","199","19"
"2020-06-27","206","95"
"2020-06-20","92","59"
"2020-06-19","238","193"
"2020-06-15","204","42"
"2020-06-05","33","91"
"2020-06-24","123","139"
"2020-06-13","101","153"
"2020-06-23","109","144"
"2020-06-30","29","227"
"2020-06-09","12","100"
"2020-06-06","104","42"
"2020-06-02","15","54"
"2020-06-25","114","137"
"2020-06-07","144","106"
"2020-06-22","249","33"
"2020-06-12","35","161"
"2020-06-20","17","167"
"2020-06-16","158","107"
"2020-06-25","226","150"
"2020-06-04","38","119"
"2020-06-14","249","66"
"2020-06-20","51","144"
"2020-06-24","33","84"
"2020-06-30","119","222"
"2020-06-08","101","194"
"2020-06-29","206","139"
"2020-06-17","249","177"
"2020-06-10","15","241"
"2020-06-03","6","235"
"2020-06-12","236","52"
"2020-06-15","146","38"
"2020-06-11","123","36"
"2020-06-09","191","11"
"2020-06-27","56","102"
"2020-06-01","174","106"
"2020-06-25","116","244"
"2020-06-17","101","157"
"2020-06-24","213","204"
"2020-06-09","8","223"
"2020-06-07","45","208"
"2020-06-17","227","244"
"2020-06-16","110","61"
"2020-06-03","208","54"
"2020-06-20","51","60"
"2020-06-18","84","106"
"2020-06-20","87","178"
"2020-06-02","81","92"
"2020-06-27","155","44"
"2020-06-11","57","196"
"2020-06-23","77","105"
"2020-06-07","156","68"
"2020-06-13","21","125"
"2020-06-18","11","6"
"2020-06-29","188","213"
"2020-06-18","103","33"
"2020-06-18","130","71"
"2020-06-17","123","93"
"2020-06-28","73","78"
"2020-06-21","67","35"
"2020-06-03","156","1"
"2020-06-10","35","210"
"2020-06-26","149","109"
"2020-06-01","199","58"
"2020-06-26","243","180"
"2020-06-30","208","90"
"2020-06-26","94","97"
"2020-06-23","157","77"
"2020-06-12","201","186"
"2020-06-06","145","10"
"2020-06-03","92","191"
"2020-06-05","73","222"
"2020-06-02","100","90"
"2020-06-17","151","56"
"2020-06-23","39","117"
"2020-06-19","115","223"
"2020-06-16","92","166"
"2020-06-15","7","37"
"2020-06-30","217","39"
"2020-06-10","71","44"
"2020-06-26","185","156"
"2020-06-13","232","61"
"2020-06-18","65","3"
"2020-06-20","95","24"
"2020-06-08","146","38"
"2020-06-19","231","229"
"2020-06-06","189","60"
"2020-06-03","175","98"
"2020-06-16","141","168"
"2020-06-10","232","222"
"2020-06-16","170","126"
"2020-06-29","203","109"
"2020-06-06","126","70"
"2020-06-20","14","208"
"2020-06-21","66","42"
"2020-06-04","82","23"
"2020-06-01","132","99"
"2020-06-22","216","88"
"2020-06-26","24","44"
"2020-06-17","106","136"
"2020-06-16","145","216"
"2020-06-04","167","37"
"2020-06-22","124","139"
"2020-06-05","212","234"
"2020-06-27","39","228"
"2020-06-30","190","161"
"2020-06-08","186","249"
"2020-06-01","177","19"
"2020-06-29","225","214"
"2020-06-02","62","65"
"2020-06-07","110","99"
"2020-06-11","111","24"
"2020-06-13","125","115"
"2020-06-18","234","165"
"2020-06-22","159","105"
"2020-06-07","27","5"
"2020-06-03","56","169"
"2020-06-27","9","155"
"2020-06-15","94","30"
"2020-06-28","64","1"
"2020-06-11","107","39"
"2020-06-22","51","22"
"2020-06-11","221","16"
"2020-06-25","153","230"
"2020-06-07","104","104"
"2020-06-22","187","14"
"2020-06-09","41","151"
"2020-06-19","77","162"
"2020-06-13","68","215"
"2020-06-02","32","114"
"2020-06-05","198","66"
"2020-06-07","187","103"
"2020-06-01","120","208"
"2020-06-20","21","62"
"2020-06-21","142","124"
"2020-06-19","25","161"
"2020-06-04","205","249"
"2020-06-06","45","221"
"2020-06-14","85","78"
"2020-06-26","2","18"
"2020-06-25","133","181"
"2020-06-15","68","62"
"2020-06-08","7","225"
"2020-06-27","151","233"
"2020-06-26","248","125"
"2020-06-08","53","6"
"2020-06-09","25","129"
"2020-06-12","19","68"
"2020-06-18","122","210"
"2020-06-07","90","96"
"2020-06-19","213","248"
"2020-06-22","108","68"
"2020-06-07","246","91"
"2020-06-09","70","169"
"2020-06-08","244","116"
"2020-06-02","4","130"
"2020-06-09","150","25"
"2020-06-07","84","129"
"2020-06-17","16","238"
"2020-06-28","8","214"
"2020-06-27","17","138"
"2020-06-25","223","28"
"2020-06-22","234","35"
"2020-06-28","41","218"
"2020-06-18","2","100"
"2020-06-22","115","54"
"2020-06-29","186","21"
"2020-06-05","89","184"
"2020-06-02","238","43"
"2020-06-23","33","118"
"2020-06-10","187","199"
"2020-06-28","198","243"
"2020-06-08","153","224"
"2020-06-22","193","59"
"2020-06-13","179","23"
"2020-06-07","109","27"
"2020-06-27","48","3"
"2020-06-09","148","199"
"2020-06-21","62","200"
"2020-06-18","41","234"
"2020-06-05","218","61"
"2020-06-18","109","216"
"2020-06-09","226","36"
"2020-06-30","189","223"
"2020-06-22","166","237"
"2020-06-20","191","75"
"2020-06-30","214","233"
"2020-06-15","153","6"
"2020-06-06","62","165"
"2020-06-16","153","143"
"2020-06-27","162","84"
"2020-06-24","1","135"
"2020-06-25","183","13"
"2020-06-23","138","246"
"2020-06-03","7","126"
"2020-06-23","141","233"
"2020-06-19","31","28"
"2020-06-30","175","137"
"2020-06-20","214","238"
"2020-06-17","146","237"
"2020-06-18","125","55"
"2020-06-09","115","75"
"2020-06-13","212","3"
"2020-06-03","193","56"
"2020-06-25","93","82"
"2020-06-10","99","192"
"2020-06-20","33","65"
"2020-06-15","194","215"
"2020-06-12","65","175"
"2020-06-23","193","19"
"2020-06-13","73","114"
"2020-06-07","236","157"
"2020-06-04","153","189"
"2020-06-05","32","143"
"2020-06-05","29","214"
"2020-06-25","107","136"
"2020-06-14","115","203"
"2020-06-21","11","116"
"2020-06-12","81","225"
"2020-06-07","74","177"
"2020-06-25","135","148"
"2020-06-11","3","96"
"2020-06-23","66","189"
"2020-06-21","81","122"
"2020-06-28","139","167"
"2020-06-13","15","48"
"2020-06-09","79","161"
"2020-06-03","170","224"
"2020-06-27","27","18"
"2020-06-24","176","208"
"2020-06-03","69","66"
"2020-06-04","178","16"
"2020-06-21","38","166"
"2020-06-08","138","217"
"2020-06-06","97","110"
"2020-06-21","142","186"
"2020-06-10","244","200"
"2020-06-19","21","107"
"2020-06-12","186","113"
"2020-06-01","196","241"
"2020-06-17","14","222"
"2020-06-29","108","216"
"2020-06-15","205","98"
"2020-06-12","220","185"
"2020-06-05","138","61"
"2020-06-12","97","116"
"2020-06-25","128","4"
"2020-06-03","157","72"
"2020-06-03","201","157"
"2020-06-19","118","226"
"2020-06-16","119","41"
"2020-06-25","52","64"
"2020-06-07","220","46"
"2020-06-09","63","111"
"2020-06-04","212","17"
"2020-06-13","224","218"
"2020-06-01","64","180"
"2020-06-04","122","171"
"2020-06-20","161","167"
"2020-06-09","26","100"
"2020-06-25","158","54"
"2020-06-20","93","48"
"2020-06-04","158","82"
"2020-06-09","179","205"
"2020-06-06","192","232"
"2020-06-16","81","209"
"2020-06-27","146","246"
"2020-06-13","242","159"
"2020-06-14","209","44"
"2020-06-23","171","216"
"2020-06-26","118","86"
"2020-06-19","183","194"
"2020-06-26","184","12"
"2020-06-25","4","239"
"2020-06-28","49","91"
"2020-06-25","153","126"
"2020-06-03","92","94"
"2020-06-07","96","124"
"2020-06-19","49","117"
"2020-06-02","21","142"
"2020-06-25","2","87"
"2020-06-07","30","226"
"2020-06-18","79","79"
"2020-06-27","210","106"
"2020-06-04","225","181"
"2020-06-21","216","41"
"2020-06-26","240","60"
"2020-06-13","141","240"
"2020-06-23","226","198"
"2020-06-30","63","51"
"2020-06-30","182","71"
"2020-06-13","51","73"
"2020-06-26","170","112"
"2020-06-15","73","141"
"2020-06-03","20","28"
"2020-06-01","104","241"
"2020-06-10","179","39"
"2020-06-21","160","134"
"2020-06-25","124","51"
"2020-06-01","102","123"
"2020-06-29","87","117"
"2020-06-09","238","86"
"2020-06-27","141","206"
"2020-06-09","85","118"
"2020-06-15","28","30"
"2020-06-24","210","178"
"2020-06-15","105","209"
"2020-06-14","16","156"
"2020-06-14","237","249"
"2020-06-09","81","230"
"2020-06-26","49","151"
"2020-06-15","130","240"
"2020-06-20","13","26"
"2020-06-29","17","68"
"2020-06-29","67","233"
"2020-06-27","30","162"
"2020-06-14","234","78"
"2020-06-13","187","68"
"2020-06-06","127","202"
"2020-06-01","141","180"
"2020-06-22","66","192"
"2020-06-22","12","155"
"2020-06-16","14","109"
"2020-06-21","230","31"
"2020-06-09","65","82"
"2020-06-08","7","62"
"2020-06-14","24","207"
"2020-06-26","246","195"
"2020-06-16","221","31"
"2020-06-27","97","85"
"2020-06-03","70","170"
"2020-06-26","13","88"
"2020-06-11","84","240"
"2020-06-13","41","60"
"2020-06-15","24","45"
"2020-06-26","234","108"
"2020-06-18","189","85"
"2020-06-14","64","185"
"2020-06-25","219","199"
"2020-06-12","41","63"
"2020-06-14","28","71"
"2020-06-21","225","11"
"2020-06-16","228","249"
"2020-06-29","241","128"
"2020-06-17","208","45"
"2020-06-16","139","62"
"2020-06-22","213","237"
"2020-06-15","241","63"
"2020-06-01","79","63"
"2020-06-15","244","142"
"2020-06-06","183","92"
"2020-06-10","58","23"
"2020-06-23","136","236"
"2020-06-12","38","47"
"2020-06-19","150","41"
"2020-06-02","91","111"
"2020-06-09","245","68"
"2020-06-26","222","59"
"2020-06-02","195","81"
"2020-06-12","242","122"
"2020-06-14","97","82"
"2020-06-10","128","156"
"2020-06-07","50","84"
"2020-06-25","67","239"
"2020-06-18","169","75"
"2020-06-28","51","234"
"2020-06-21","166","161"
"2020-06-22","10","90"
"2020-06-09","214","202"
"2020-06-28","151","221"
"2020-06-27","90","78"
"2020-06-30","164","65"
"2020-06-08","173","170"
"2020-06-03","199","75"
"2020-06-07","133","75"
"2020-06-14","106","170"
"2020-06-18","220","64"
"2020-06-04","189","226"
"2020-06-20","59","231"
"2020-06-22","96","232"
"2020-06-17","149","18"
"2020-06-09","215","42"
"2020-06-15","123","109"
"2020-06-14","144","68"
"2020-06-29","157","23"
"2020-06-24","38","33"
"2020-06-21","175","139"
"2020-06-18","167","213"
"2020-06-29","193","93"
"2020-06-27","59","197"
"2020-06-22","154","77"
"2020-06-11","95","160"
"2020-06-25","4","236"
"2020-06-17","171","161"
"2020-06-02","238","234"
"2020-06-09","99","160"
"2020-06-13","185","15"
"2020-06-10","3","24"
"2020-06-29","176","23"
"2020-06-30","32","65"
"2020-06-11","69","245"
"2020-06-17","90","155"
"2020-06-14","175","57"
"2020-06-14","5","159"
"2020-06-15","150","220"
"2020-06-09","180","61"
"2020-06-13","247","109"
"2020-06-16","84","147"
"2020-06-10","119","140"
"2020-06-12","26","50"
"2020-06-12","94","121"
"2020-06-14","45","190"
"2020-06-28","112","160"
"2020-06-20","9","197"
"2020-06-12","222","144"
"2020-06-18","147","208"
"2020-06-23","231","191"
"2020-06-10","137","111"
"2020-06-26","224","213"
"2020-06-30","15","143"
"2020-06-05","149","140"
"2020-06-28","7","77"
"2020-06-04","160","57"
"2020-06-04","47","147"
"2020-06-12","1","113"
"2020-06-16","67","36"
"2020-06-14","74","140"
"2020-06-30","28","236"
"2020-06-03","102","65"
"2020-06-22","184","227"
"2020-06-21","5","42"
"2020-06-29","111","240"
"2020-06-28","229","228"
"2020-06-01","192","245"
"2020-06-07","215","32"
"2020-06-07","175","77"
"2020-06-30","197","234"
"2020-06-15","157","42"
"2020-06-10","51","190"
"2020-06-26","214","177"
"2020-06-05","165","27"
"2020-06-18","92","114"
"2020-06-21","6","22"
"2020-06-22","55","37"
"2020-06-12","190","228"
"2020-06-14","57","232"
"2020-06-28","247","114"
"2020-06-21","227","127"
"2020-06-09","62","67"
"2020-06-06","175","41"
"2020-06-19","152","220"
"2020-06-27","215","174"
"2020-06-19","90","148"
"2020-06-16","142","39"
"2020-06-17","59","68"
"2020-06-17","164","211"
"2020-06-04","66","3"
"2020-06-30","87","207"
"2020-06-03","166","242"
"2020-06-24","71","128"
"2020-06-28","63","110"
"2020-06-10","171","136"
"2020-06-05","160","91"
"2020-06-26","60","201"
"2020-06-15","23","50"
"2020-06-02","117","56"
"2020-06-06","86","168"
"2020-06-03","127","208"
"2020-06-29","199","110"
"2020-06-17","223","17"
"2020-06-27","72","57"
"2020-06-01","186","136"
"2020-06-28","162","52"
"2020-06-27","71","57"
"2020-06-03","161","95"
"2020-06-11","108","247"
"2020-06-02","180","244"
"2020-06-18","226","24"
"2020-06-11","191","9"
"2020-06-17","46","58"
"2020-06-08","248","47"
"2020-06-20","244","91"
"2020-06-07","184","204"
"2020-06-09","173","107"
"2020-06-14","227","206"
"2020-06-03","195","98"
"2020-06-29","32","127"
"2020-06-05","91","17"
"2020-06-13","222","188"
"2020-06-01","230","63"
"2020-06-05","219","217"
"2020-06-14","99","94"
"2020-06-22","69","145"
"2020-06-10","46","133"
"2020-06-18","240","123"
"2020-06-29","111","246"
"2020-06-13","10","193"
"2020-06-20","221","238"
"2020-06-03","220","38"
"2020-06-09","144","161"
"2020-06-22","209","74"
"2020-06-27","136","160"
"2020-06-27","222","11"
"2020-06-24","221","87"
"2020-06-24","37","35"
"2020-06-23","131","226"
"2020-06-24","75","132"
"2020-06-04","18","128"
"2020-06-21","44","36"
"2020-06-04","181","119"
"2020-06-21","173","235"
"2020-06-21","91","152"
"2020-06-03","123","61"
"2020-06-21","2","130"
"2020-06-12","133","14"
"2020-06-18","152","24"
"2020-06-29","157","134"
"2020-06-15","224","76"
"2020-06-18","236","40"
"2020-06-01","240","133"
"2020-06-29","133","95"
"2020-06-15","5","238"
"2020-06-02","138","23"
"2020-06-04","211","131"
"2020-06-13","2","22"
"2020-06-15","58","153"
"2020-06-02","246","14"
"2020-06-24","72","71"
"2020-06-05","200","44"
"2020-06-03","44","238"
"2020-06-03","15","94"
"2020-06-28","153","225"
"2020-06-15","76","192"
"2020-06-14","44","155"
"2020-06-02","32","177"
"2020-06-04","121","108"
"2020-06-06","25","218"
"2020-06-27","175","57"
"2020-06-03","137","147"
"2020-06-03","30","93"
"2020-06-24","10","178"
"2020-06-13","148","66"
"2020-06-02","153","188"
"2020-06-18","73","110"
"2020-06-14","38","50"
"2020-06-12","182","202"
"2020-06-26","189","95"
"2020-06-03","12","139"
"2020-06-30","40","65"
"2020-06-03","229","151"
"2020-06-17","91","242"
"2020-06-02","40","157"
"2020-06-02","42","48"
"2020-06-14","161","34"
"2020-06-26","191","80"
"2020-06-28","163","49"
"2020-06-18","99","177"
"2020-06-15","52","192"
"2020-06-17","17","191"
"2020-06-14","130","191"
"2020-06-01","162","3"
"2020-06-12","20","5"
"2020-06-10","75","91"
"2020-06-03","118","91"
"2020-06-10","208","86"
"2020-06-13","74","85"
"2020-06-25","170","2"
"2020-06-03","2","136"
"2020-06-03","217","25"
"2020-06-27","205","225"
"2020-06-09","140","194"
"2020-06-02","216","174"
"2020-06-11","185","162"
"2020-06-04","144","95"
